artist,click,pageview,preview,total_events,click_rate
Tesher,2266,4576,1446,8288,49.519230769230774
Anne-Marie,939,2290,800,4029,41.00436681222707
Tundra Beats,1062,2138,751,3951,49.67259120673527
Roddy Ricch,928,1763,416,3107,52.637549631310264
Olivia Rodrigo,667,1931,439,3037,34.54168824443294
"Surf Mesa, Emilee",693,1704,559,2956,40.66901408450704
"DMNDS, Strange Fruits Music, Fallen Roses, Lujavo, Nito-Onna",873,1637,355,2865,53.3292608430055
Reyanna Maria,684,1559,432,2675,43.87427838357922
PinkPantheress,661,1537,248,2446,43.005855562784646
"50 Cent, Olivia",549,1428,413,2390,38.445378151260506
"Shawn Mendes, Tainy",571,1177,360,2108,48.51316907391674
Bella Poarch,473,1199,400,2072,39.44954128440367
KenTheMan,525,1204,331,2060,43.604651162790695
"Kayla Nicole, Taylor Girlz, Flo Milli",506,1340,175,2021,37.76119402985075
Billie Eilish,353,878,221,1452,40.20501138952164
Justin Bieber,334,824,266,1424,40.53398058252427
Megan Thee Stallion,248,815,141,1204,30.429447852760738
Bazzi,306,734,159,1199,41.689373297002724
"Trippie Redd, Lil Uzi Vert",338,732,83,1153,46.17486338797814
Remble,348,671,126,1145,51.8628912071535
Capella Grey,386,678,69,1133,56.932153392330385
L.Dre,289,624,151,1064,46.31410256410257
"Soulja Boy Tell 'Em, Rich The Kid",261,657,143,1061,39.726027397260275
Ed Sheeran,240,600,209,1049,40.0
"Shouse, David Guetta",297,583,127,1007,50.943396226415096
"Lola Indigo, TINI, Belinda",259,570,170,999,45.438596491228076
Cassie,255,575,169,999,44.34782608695652
"Sub Urban, Bella Poarch",247,558,164,969,44.2652329749104
Groove Delight,240,566,138,944,42.40282685512368
Duncan Laurence,229,562,140,931,40.74733096085409
Hoàng Read,220,568,132,920,38.732394366197184
KA$HDAMI,305,547,0,852,55.758683729433265
Sean Paul,212,498,136,846,42.570281124497996
Ariana Grande,181,489,137,807,37.01431492842536
Måneskin,211,498,82,791,42.369477911646584
"SHRK, Shiloh Dynasty",221,472,98,791,46.82203389830508
Ingratax,181,466,137,784,38.8412017167382
"Lil Tecca, Gunna",277,478,0,755,57.94979079497908
"Justin Bieber, Ludacris",154,428,114,696,35.981308411214954
"Maroon 5, Megan Thee Stallion",199,398,92,689,50.0
Vitamin A,134,398,154,686,33.66834170854271
"Justin Quiles, Chimbala, Zion & Lennox",176,396,99,671,44.44444444444444
