country,click,pageview,preview,click_rate
Central African Republic,1,1,0,100.0
Wallis and Futuna,1,1,0,100.0
Iran,2,2,2,100.0
Eritrea,2,2,1,100.0
Principality of Monaco,1,1,0,100.0
Solomon Islands,1,1,0,100.0
Saint Martin,1,1,0,100.0
Guernsey,1,1,0,100.0
Seychelles,2,2,1,100.0
Namibia,12,15,3,80.0
Laos,4,5,0,80.0
Guinea,9,12,2,75.0
Marshall Islands,2,3,0,66.66666666666666
Papua New Guinea,2,3,1,66.66666666666666
Gibraltar,2,3,0,66.66666666666666
Burkina Faso,20,32,12,62.5
Liberia,5,8,4,62.5
Somalia,50,81,30,61.72839506172839
Ghana,191,311,95,61.41479099678456
British Virgin Islands,3,5,1,60.0
Haiti,28,47,23,59.57446808510638
Senegal,56,95,28,58.94736842105262
Myanmar,11,19,6,57.89473684210527
Comoros,4,7,1,57.14285714285714
Mali,44,77,35,57.14285714285714
Botswana,8,14,5,57.14285714285714
China,8,14,3,57.14285714285714
Nigeria,354,636,177,55.660377358490564
Curaçao,5,9,2,55.55555555555556
Pakistan,754,1382,497,54.55861070911722
Cameroon,48,90,33,53.333333333333336
Saudi Arabia,1976,3712,1994,53.23275862068966
Uganda,42,80,29,52.5
Togo,21,40,15,52.5
Angola,21,40,9,52.5
Mauritania,69,132,39,52.27272727272727
Netherlands,430,826,173,52.05811138014528
Kenya,93,180,62,51.66666666666667
Kuwait,221,433,202,51.03926096997691
Zambia,25,49,24,51.02040816326531
India,5360,10565,2764,50.733554188357786
Australia,503,998,173,50.40080160320641
Saint Vincent and the Grenadines,3,6,2,50.0
Isle of Man,1,2,0,50.0
Ethiopia,15,30,10,50.0
Malawi,1,2,0,50.0
French Polynesia,1,2,0,50.0
Gabon,22,44,11,50.0
Singapore,26,52,8,50.0
Greenland,1,2,1,50.0
Djibouti,4,8,3,50.0
Sierra Leone,6,12,5,50.0
Cambodia,6,12,1,50.0
New Caledonia,3,6,0,50.0
South Korea,8,16,2,50.0
Bhutan,10,20,3,50.0
Palau,1,2,0,50.0
Canada,840,1702,242,49.35370152761457
Ivory Coast,50,102,33,49.01960784313725
Hungary,60,123,15,48.78048780487805
Benin,20,41,16,48.78048780487805
DR Congo,33,68,16,48.529411764705884
Rwanda,21,44,11,47.72727272727273
Guyana,10,21,8,47.61904761904761
Tanzania,59,126,48,46.82539682539682
Congo Republic,7,15,2,46.666666666666664
United States,8446,18131,2087,46.58320004412332
Qatar,95,205,94,46.34146341463415
Oman,177,383,171,46.21409921671018
Mayotte,6,13,6,46.15384615384615
France,2792,6181,1592,45.17068435528231
Cayman Islands,4,9,2,44.44444444444444
Bangladesh,188,425,139,44.23529411764706
Iraq,567,1285,592,44.12451361867704
Mozambique,10,23,8,43.47826086956522
Niger,13,30,9,43.333333333333336
Bulgaria,43,100,20,43.0
Hong Kong,9,21,3,42.857142857142854
Trinidad and Tobago,18,42,11,42.857142857142854
Turks and Caicos Islands,3,7,0,42.857142857142854
Gambia,3,7,2,42.857142857142854
Bermuda,3,7,2,42.857142857142854
Nepal,124,292,84,42.465753424657535
Jamaica,58,137,33,42.33576642335766
Belize,8,19,1,42.10526315789473
Japan,8,19,4,42.10526315789473
Bahrain,116,276,91,42.028985507246375
United Arab Emirates,402,957,383,42.00626959247649
Croatia,68,163,25,41.717791411042946
Poland,209,505,83,41.386138613861384
South Africa,134,324,52,41.358024691358025
Austria,151,368,71,41.03260869565217
United Kingdom,1307,3218,570,40.61528899937849
Belgium,282,699,157,40.343347639484975
Ireland,116,289,50,40.13840830449827
Liechtenstein,2,5,1,40.0
French Guiana,10,25,9,40.0
Eswatini,2,5,0,40.0
El Salvador,26,65,13,40.0
Brunei,2,5,1,40.0
Germany,1030,2585,402,39.845261121856865
Morocco,164,412,102,39.80582524271845
Maldives,25,63,20,39.682539682539684
New Zealand,85,217,35,39.1705069124424
Iceland,9,23,6,39.130434782608695
Fiji,14,36,9,38.88888888888889
Chad,10,26,14,38.46153846153847
Ukraine,39,102,21,38.23529411764706
Thailand,12,32,6,37.5
Burundi,3,8,3,37.5
Dominican Republic,47,127,32,37.00787401574803
Italy,136,369,59,36.856368563685635
Barbados,7,19,2,36.84210526315789
Israel,83,226,55,36.72566371681416
North Macedonia,23,63,11,36.507936507936506
Switzerland,169,463,93,36.50107991360691
U.S. Virgin Islands,4,11,1,36.36363636363637
Belarus,4,11,4,36.36363636363637
Latvia,37,102,11,36.27450980392157
Slovenia,21,58,9,36.206896551724135
Norway,270,747,229,36.144578313253014
Bosnia and Herzegovina,36,100,25,36.0
Sweden,260,723,162,35.9612724757953
Malaysia,40,112,20,35.714285714285715
Slovakia,27,76,11,35.526315789473685
Luxembourg,11,31,10,35.483870967741936
Greece,61,172,24,35.46511627906977
Peru,52,147,37,35.374149659863946
Brazil,177,505,87,35.04950495049505
Guadeloupe,14,40,9,35.0
Lebanon,16,46,8,34.78260869565217
Bahamas,9,26,3,34.61538461538461
Nicaragua,15,44,10,34.090909090909086
Sudan,16,47,19,34.04255319148936
Denmark,131,389,92,33.67609254498715
Taiwan,2,6,1,33.33333333333333
Tajikistan,1,3,1,33.33333333333333
Åland,1,3,1,33.33333333333333
Malta,2,6,0,33.33333333333333
Vietnam,2,6,1,33.33333333333333
American Samoa,1,3,0,33.33333333333333
Egypt,90,271,73,33.210332103321036
Finland,78,235,46,33.191489361702125
Tunisia,48,146,37,32.87671232876712
Azerbaijan,37,113,29,32.743362831858406
Réunion,32,98,29,32.6530612244898
Honduras,43,132,32,32.57575757575758
Panama,13,40,8,32.5
Jordan,94,290,108,32.41379310344827
Uzbekistan,22,68,14,32.35294117647059
Sri Lanka,45,141,29,31.914893617021278
Suriname,10,32,4,31.25
Romania,133,430,91,30.930232558139537
Indonesia,47,152,22,30.92105263157895
Philippines,113,366,54,30.87431693989071
Czechia,46,149,23,30.87248322147651
Spain,120,390,66,30.76923076923077
Georgia,18,59,20,30.508474576271187
Lithuania,42,138,17,30.434782608695656
Portugal,37,123,23,30.081300813008134
Saint Lucia,3,10,1,30.0
Yemen,9,30,13,30.0
Serbia,45,152,30,29.605263157894733
Mauritius,17,58,11,29.310344827586203
Algeria,96,328,91,29.268292682926827
Turkey,466,1598,335,29.161451814768462
Libya,68,236,72,28.8135593220339
Cabo Verde,2,7,2,28.57142857142857
Estonia,22,79,12,27.848101265822784
Martinique,13,47,15,27.659574468085108
Mexico,171,626,97,27.316293929712458
Kyrgyzstan,7,26,3,26.923076923076923
Zimbabwe,4,15,3,26.666666666666668
Guatemala,33,124,21,26.61290322580645
Palestine,54,205,72,26.34146341463415
Russia,65,253,53,25.691699604743086
Argentina,14,55,14,25.454545454545453
Albania,58,231,58,25.108225108225106
Anguilla,1,4,0,25.0
Madagascar,1,4,2,25.0
Antigua and Barbuda,1,4,0,25.0
Syria,1,4,2,25.0
Venezuela,15,62,10,24.193548387096776
Montenegro,5,21,3,23.809523809523807
Bolivia,15,65,11,23.076923076923077
Paraguay,12,52,12,23.076923076923077
Colombia,69,302,37,22.8476821192053
Kosovo,15,69,20,21.73913043478261
Moldova,8,37,8,21.62162162162162
St Kitts and Nevis,2,10,2,20.0
Dominica,1,5,0,20.0
Mongolia,1,5,0,20.0
Kazakhstan,8,42,9,19.047619047619047
Uruguay,3,16,2,18.75
Ecuador,28,159,28,17.61006289308176
Costa Rica,4,25,6,16.0
Chile,5,33,5,15.151515151515152
Grenada,1,7,0,14.285714285714285
Puerto Rico,7,50,4,14.000000000000002
Cyprus,3,23,8,13.043478260869565
Aruba,3,23,1,13.043478260869565
Armenia,5,45,9,11.11111111111111
Andorra,0,2,1,0.0
Sint Maarten,0,1,0,0.0
Faroe Islands,0,5,1,0.0
Samoa,0,2,0,0.0
