linkid,click,pageview,preview,click_rate
afe8194e-5002-4e56-bc96-060bf355402d,19,24,1,79.16666666666666
ffd3c9e7-c5c5-4f28-b03d-cbaec33f2152,53,67,0,79.1044776119403
47f54e58-af71-4580-9182-364b14b7740a,16,21,3,76.19047619047619
f2cef536-5a20-4dc1-a973-600051bdea04,23,34,3,67.64705882352942
339a61ec-9379-5805-aa3b-baa2f13acb43,19,29,0,65.51724137931035
c7ca19fe-a533-4b8a-85c7-faed28ead5e5,13,20,2,65.0
08bc2f1c-5c52-4616-acbd-de4e7a62c7bc,25,39,9,64.1025641025641
52762e40-cb7a-4a8a-beb7-03fbd6cca9f8,204,329,66,62.00607902735562
e1e0b741-3076-405f-a3e9-c613a946c969,13,21,1,61.904761904761905
51a9a818-40d2-432d-b48a-9dcff61c6278,13,21,1,61.904761904761905
