linkid,click,pageview,preview,total_events,click_rate
2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2266,4576,1446,8288,49.519230769230774
e849515b-929d-44c8-a505-e7622f1827e9,1062,2137,751,3950,49.69583528310716
522da5cc-8177-4140-97a7-a84fdb4caf1c,891,2142,753,3786,41.596638655462186
a82e72d8-523f-43ab-9fd0-992605d54b4e,908,1736,415,3059,52.30414746543779
681d888a-59ce-4acb-b7c5-95dab0c063d9,873,1637,355,2865,53.3292608430055
23199824-9cf5-4b98-942a-34965c3b0cc2,684,1559,432,2675,43.87427838357922
c2c876ab-b093-4750-9449-6b4913da6af3,579,1391,472,2442,41.624730409777136
97105aff-3e40-4c2e-bfeb-563b55e8f5dd,549,1428,413,2390,38.445378151260506
d5317591-872a-487d-87cb-10a516643d5f,566,1155,353,2074,49.00432900432901
a107c329-5d35-4c7d-8050-50bc69ce7dbc,473,1199,400,2072,39.44954128440367
190c7170-4044-4c97-9709-926917155b02,523,1201,331,2055,43.54704412989175
fbf4b935-f961-4b13-b1d8-45ad47093559,506,1340,175,2021,37.76119402985075
a4a6c5d9-eb71-4987-9e37-762aa9fc740b,321,910,209,1440,35.27472527472528
62d8b57e-0d63-48a0-b856-546e50130534,385,677,69,1131,56.868537666174305
561bff5d-03fd-45c2-87e0-0d9593182b57,338,646,123,1107,52.32198142414861
5ffec53c-25da-436e-a84e-5695deee5e0e,261,657,143,1061,39.726027397260275
7ba36fe9-da9f-4f14-ac38-920d0346cc3b,238,596,209,1043,39.93288590604027
df57e9c4-e4db-406a-a4de-f9b5cb59fcf3,283,597,140,1020,47.403685092127304
53da9d1d-7fa4-489e-a94a-e370beebdd7f,297,583,127,1007,50.943396226415096
7c8bbf79-21c7-4b33-acaf-c8bf5a45c333,259,570,170,999,45.438596491228076
ca74d4ae-51ce-451d-8bd7-809443d1798a,255,575,169,999,44.34782608695652
f6d1717b-7707-4747-a048-37a36bf4048c,199,664,111,974,29.96987951807229
92eb2fcc-1d3a-49fe-a000-916f92f8dcf9,247,558,164,969,44.2652329749104
5df02edc-daea-47f0-ac73-0ca9441dfae9,240,566,138,944,42.40282685512368
cce607e4-1ecb-4ac7-9f83-eb0ce1e1e6d9,229,561,140,930,40.819964349376114
8f990f44-6a5d-4294-ab0b-f74e0a8f3b25,220,568,132,920,38.732394366197184
638b0c7a-8f87-47c0-b444-8ac66d3d7054,212,511,184,907,41.48727984344423
fd647d87-4c7a-4dd1-92c6-0e7dd7fdf4f1,236,546,93,875,43.223443223443226
eedc8702-6bd2-499a-972f-260c35f72e0f,243,545,83,871,44.587155963302756
e2e39afa-648b-4163-97b0-ce742ea67550,243,519,87,849,46.82080924855491
04ba6b17-1055-4f0e-a75e-3cdb0d0d4106,212,498,136,846,42.570281124497996
9c61dba1-9369-4ee4-a215-1d34581cd811,300,539,0,839,55.65862708719852
d58a7ad8-f1f7-43c7-90fc-02906b703089,203,497,121,821,40.845070422535215
184041ab-9c90-4c29-8b6b-6ac2261be2d3,178,483,137,798,36.85300207039337
7d5f284b-8e57-4d74-adc6-3a757aaf3494,211,498,82,791,42.369477911646584
ce48666e-1652-4541-82c4-8d4115c39325,221,472,98,791,46.82203389830508
81c63400-e7a7-44a0-9e2b-60117f828767,181,466,137,784,38.8412017167382
246b7a4c-3866-4eb2-a0bb-931c0fca7899,277,478,0,755,57.94979079497908
38390938-0454-41fa-8dce-5e3af9710ecf,154,428,114,696,35.981308411214954
41aa8dc7-36b0-4f9e-a8b4-777bf821bdbb,152,428,106,686,35.51401869158878
f563adc4-d7c6-4d70-93d0-06bab552f642,134,398,154,686,33.66834170854271
7aaf5a76-d98d-4319-a14e-bbc618248b6c,193,389,92,674,49.61439588688946
6ec91846-dae0-448e-8afe-a775547c0fad,176,396,99,671,44.44444444444444
9ca8ca2d-3507-4287-8f66-a80314dc7169,162,392,88,642,41.3265306122449
275bab3b-16d4-40a7-a674-bf6c7c5f96de,209,358,59,626,58.37988826815642
33335d11-744e-481b-9ba7-30086ca46edd,184,336,96,616,54.761904761904766
52762e40-cb7a-4a8a-beb7-03fbd6cca9f8,204,329,66,599,62.00607902735562
f33886d8-612b-46c8-8d1b-db631523f1a4,122,359,117,598,33.98328690807799
4f3fd357-b2b0-4ddb-b047-8cef495611d6,151,394,52,597,38.3248730964467
92699f7a-acc7-4262-af67-12ffbd31d17d,132,339,121,592,38.93805309734513
e0e33efc-c062-4fa7-97d1-2c3d14432455,156,337,98,591,46.29080118694362
2f6e4168-fdae-4e65-967b-220bccc68780,162,363,65,590,44.62809917355372
58802900-e783-45d7-be07-271d83efd3f8,138,355,92,585,38.87323943661972
33fbbe3c-c497-446e-a849-f9fc29b60701,138,347,96,581,39.76945244956772
c89d0bb7-fdd0-4bda-a770-3abd16b45f2e,131,340,87,558,38.529411764705884
5821fd15-f95f-43f6-b43b-2fb13c3caacf,157,353,47,557,44.47592067988669
f9829d35-cc38-420e-b206-0d53d84d117a,138,335,76,549,41.19402985074627
23e5ca95-a514-4fad-91fa-faacc4f41142,109,356,70,535,30.61797752808989
3638820f-a54d-49ac-8225-96fba9ca30a9,149,298,75,522,50.0
d50fe37d-b227-456f-a234-eb94414f6982,109,304,108,521,35.85526315789473
5bf02874-e522-44e2-9013-edb794731c56,141,314,65,520,44.904458598726116
44fba5ca-b565-4baa-bba0-c136c5042823,121,308,82,511,39.285714285714285
1cded359-7b54-4086-987e-4cae307a446f,137,317,56,510,43.217665615141954
0211bf4d-0e9d-46c2-889c-f97872280820,81,322,106,509,25.15527950310559
2a636360-84e6-4e05-8c41-bf308b1cd8c1,113,305,87,505,37.049180327868854
5d501227-1a9e-4830-ad81-e115d3879548,133,291,77,501,45.70446735395189
6add5818-33b1-4ab1-977d-435af50e9b10,116,293,80,489,39.59044368600683
c8e81e0d-6f2e-44af-b4b3-ce001774461c,127,285,67,479,44.56140350877193
1210448a-5857-4b98-86d1-5cf4bb993a08,108,283,70,461,38.16254416961131
eb64dde2-68be-4717-9762-85af891ed7db,136,262,63,461,51.908396946564885
c1cb1475-a6e8-45ae-a963-e0f3932a43cc,122,282,54,458,43.262411347517734
2fc15e8b-83aa-40ee-9f9d-5d96c6d4356c,125,249,82,456,50.20080321285141
269a0f5b-233a-4ea9-87e5-c3218cd82a33,157,266,31,454,59.02255639097744
631c210a-b92b-4218-89ae-99a9a13c6d99,112,290,50,452,38.62068965517241
